,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
EWS-502,-0.9251179,0.22332941,0.43766305,-0.14354293,0.03301434,0.0101581365,-0.747976,0.10931263,0.15145683,-0.29657668,-0.014699173,0.4214871,-0.45215684,-0.32678974,0.31340033,-0.33874804
Granta-519,0.13202083,-0.5510392,-0.106687956,-0.3250625,0.23870853,-0.042225666,-0.52423114,0.027666248,0.5147477,-0.38625038,0.014670042,0.09671944,-0.19092456,-0.07646602,0.17582244,0.14594647
JHOS-4,-0.83404016,0.2421525,0.43236417,-0.13398428,0.11448483,-0.006938588,-0.5182038,0.18592025,0.10563272,-0.26446253,-0.01061267,0.4481425,-0.49435118,-0.3361896,0.58644855,-0.19057119
MUTZ-5,0.09012225,-0.5431613,-0.10718739,-0.37824368,0.092294544,-0.15354152,-0.22997546,-0.00022181682,0.4788384,-0.43667975,-0.048171405,0.095964,-0.09338574,-0.05786466,0.19783735,0.2430006
F-36P,-0.8341754,0.25439757,0.45445263,-0.22836897,0.24874595,-0.08843702,-0.48400915,0.18116729,0.12331408,-0.24800512,-0.107333474,0.40276983,-0.55570924,-0.33646592,0.7839913,-0.2967274
HCC364,-0.92464566,0.22344646,0.41656363,-0.09618216,0.17966062,0.0042466074,-0.63455135,0.20412523,0.13226473,-0.28767216,-0.007861117,0.45799518,-0.50734115,-0.33850023,0.2938153,-0.2889115
SK-N-SH,1.7339451,-1.9000921,0.17796613,-1.1737258,0.13335663,-1.0555737,-0.8738587,0.99619305,0.5247929,-1.1153356,0.81956744,-0.25073856,-0.3116246,0.11017853,-0.30941027,-0.20138845
Kuramochi,-0.014295604,1.6444782,0.25221556,-1.7207775,-2.6532369,1.2382416,-0.388373,0.2493801,1.0809139,-1.0243,1.178451,0.21048155,0.77775216,2.1904058,1.115051,-1.5742726
SW403,4.3108315,1.237678,-2.2407804,1.7495989,-0.07833463,1.8062522,3.2553053,-4.1974845,-1.5330445,2.3114214,1.097951,-1.9276325,2.137011,-0.8582943,-3.299354,-1.1758245
SK-MM-2,-0.9888199,0.24845819,0.46585634,-0.23650683,-0.11129666,-0.11515704,-0.67114276,0.18780874,0.088554874,-0.25267166,0.03974116,0.43875483,-0.49567398,-0.3145506,0.55795616,-0.23310272
SNU-324,1.1391287,0.6810405,-0.69367576,-0.8054753,-0.5517876,1.8425901,-0.12709191,-1.7874149,0.8859771,-0.28628868,1.1585352,-0.605019,0.86921847,-0.019753005,-1.1822166,-0.9899835
AGS,1.9393731,-1.5579337,0.20481612,0.25479734,-0.053343177,-1.9442374,0.69507015,1.276914,-0.5045732,0.05399625,-0.25498372,0.3602297,-0.23033361,0.39734,-0.94366413,0.6258946
