,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
PaTu 8902,-1.7911446,1.3371147,0.16668114,0.6651979,0.28874865,-1.3092679,-1.077012,1.8826023,0.8322577,-1.335531,0.94989294,-1.6619765,-1.9148874,1.5928799,-1.1179101,2.295579
JVM-3,-6.715064,-13.331988,-0.003493227,1.4111135,-0.9601826,-10.79534,-9.464138,9.048274,-7.453904,0.06513591,0.31880158,-3.5396872,-11.273045,13.835158,-10.373942,16.035294
COV318,-0.14803196,0.98835427,1.7622399,1.8091652,-0.5885002,0.49481282,1.5642319,0.42124537,1.5392468,-0.75626314,-0.23855668,1.8747189,0.58770543,-0.7011438,0.6283894,1.1659566
U-138MG,-1.7003782,-2.5088623,4.6224837,2.6897833,6.349385,0.5663719,4.9172297,2.3477278,-2.298934,5.021014,-1.2276653,9.628433,-5.389665,-10.2293,-0.56951386,-0.1801386
Lu-65,-0.7931996,1.1230121,0.21688324,0.72045755,-0.5957721,-0.42901862,-0.21028967,1.4877521,0.39745215,-0.31601983,0.020188998,-0.085100405,-0.53461856,0.6670427,0.008556043,1.7662783
AM-38,-1.2636323,-1.5432583,2.2805016,1.3745615,3.2752001,-0.26503706,1.9756653,1.5583063,-1.1908932,2.7358806,-0.6963438,4.3581166,-3.0146897,-4.786061,-0.78990275,0.4876687
JMSU-1,-0.7732968,-0.75940555,1.6267675,0.9346406,2.9283586,1.4136434,3.2713735,-0.14680904,-1.3358928,0.69055146,-0.061846092,2.5986922,-2.7102227,-4.1693287,-0.19066739,-1.1085845
BICR 6,-2.0539389,-0.4188863,0.37010464,-1.9167969,2.7153697,-0.5702927,0.26836577,-1.4534162,-1.3920519,-1.5540928,2.0778546,-3.219237,-2.8463666,0.37056035,-0.3985772,0.7608574
1321N1,-0.45684797,-1.1813234,3.4704285,2.1193023,3.2912486,0.24622774,3.2649128,1.7607429,-0.4176974,3.1876917,-0.8411025,6.783487,-2.4344392,-6.0906386,-0.10722148,0.32062584
OE33,-1.7752099,2.057257,-0.16593575,0.73550975,-0.036002807,-0.5413816,-0.92632884,1.3794107,0.87971175,-2.3799827,1.4860531,-2.2850182,-1.4304402,1.8585829,-0.77478087,2.130643
